param1,param1_value,param2,param2_value,replication,fitness,precision,num_quality_issues,avg_confidence,conformance_triggered,detection_accuracy
c1_probability,0.3,c3_probability,0.44999999999999996,0,1.0,0.8456988058381247,21,0.8311616934173115,0,0.7142857142857143
c1_probability,0.3,c3_probability,0.44999999999999996,1,1.0,0.8646650573325286,23,0.8481693606300346,0,0.8260869565217391
c1_probability,0.3,c3_probability,0.44999999999999996,2,0.9778378400797235,0.8407976462896372,23,0.8221652997590623,0,0.7391304347826086
c1_probability,0.3,c3_probability,0.6,0,1.0,0.8466718610863757,24,0.8476262734790025,0,0.8333333333333334
c1_probability,0.3,c3_probability,0.6,1,1.0,0.9033493369913123,24,0.8559178321389019,0,0.8333333333333334
c1_probability,0.3,c3_probability,0.6,2,0.9847050312624681,0.8629843142512401,23,0.8495000134082696,0,0.8260869565217391
c1_probability,0.44999999999999996,c3_probability,0.0,0,0.9978896742425367,0.8488135293075969,23,0.848275935448796,0,0.8260869565217391
c1_probability,0.44999999999999996,c3_probability,0.0,1,0.9745026468951399,0.8939687337647003,20,0.8604191520721003,0,0.85
c1_probability,0.44999999999999996,c3_probability,0.0,2,0.8769024263232468,0.7484155776039163,24,0.840946181375219,0,0.75
c1_probability,0.44999999999999996,c3_probability,0.15,0,1.0,0.881046282333836,24,0.8310380092409225,0,0.7916666666666666
c1_probability,0.44999999999999996,c3_probability,0.15,1,1.0,0.8767559309086279,22,0.8856597467219607,0,0.8636363636363636
c1_probability,0.44999999999999996,c3_probability,0.15,2,1.0,0.8506379359228806,23,0.8492673011657286,0,0.8260869565217391
c1_probability,0.44999999999999996,c3_probability,0.3,0,1.0,0.9238924998847554,23,0.8863168871214888,0,0.8695652173913043
c1_probability,0.44999999999999996,c3_probability,0.3,1,0.9832440468433672,0.8496305418719212,23,0.8820397143350701,0,0.8695652173913043
c1_probability,0.44999999999999996,c3_probability,0.3,2,0.9705879127273168,0.8860996854585047,23,0.8285206168268907,0,0.782608695652174
c1_probability,0.44999999999999996,c3_probability,0.44999999999999996,0,1.0,0.9394685603023709,24,0.871615557349188,0,0.8333333333333334
c1_probability,0.44999999999999996,c3_probability,0.44999999999999996,1,1.0,0.847835837631756,19,0.8719316628392897,0,0.7894736842105263
c1_probability,0.44999999999999996,c3_probability,0.44999999999999996,2,0.9510550095524605,0.9282678612451183,24,0.8380392772678542,0,0.8333333333333334
c1_probability,0.44999999999999996,c3_probability,0.6,0,1.0,0.926306548233836,21,0.8391891630275342,0,0.7142857142857143
c1_probability,0.44999999999999996,c3_probability,0.6,1,1.0,0.9276035250639628,22,0.8887502864083108,0,0.8636363636363636
c1_probability,0.44999999999999996,c3_probability,0.6,2,1.0,0.8488214728769595,21,0.8340846835333415,0,0.7619047619047619
c1_probability,0.6,c3_probability,0.0,0,1.0,0.7320186060815745,22,0.8911551423507305,0,0.8636363636363636
c1_probability,0.6,c3_probability,0.0,1,0.9924357199796379,0.8405288062832333,24,0.8332348213243034,0,0.7916666666666666
c1_probability,0.6,c3_probability,0.0,2,0.9973712606837607,0.9680842244881042,22,0.8628358082928762,0,0.8636363636363636
c1_probability,0.6,c3_probability,0.15,0,1.0,0.8495518565941101,22,0.8885676826487399,0,0.8636363636363636
c1_probability,0.6,c3_probability,0.15,1,1.0,0.8649054338036626,22,0.8637360321720078,0,0.8636363636363636
c1_probability,0.6,c3_probability,0.15,2,0.9981973484848484,0.9374965151937552,23,0.8835047358740343,0,0.9130434782608695
c1_probability,0.6,c3_probability,0.3,0,1.0,0.8857577100880248,22,0.8406792300041914,0,0.7272727272727273
c1_probability,0.6,c3_probability,0.3,1,0.9597130772005772,0.9892031958540272,23,0.827354564258095,0,0.782608695652174
c1_probability,0.6,c3_probability,0.3,2,0.9663902750828861,0.9084097249900359,25,0.7913887783667022,0,0.68
c1_probability,0.6,c3_probability,0.44999999999999996,0,0.9680401480737405,0.9067073170731708,26,0.8355723610691397,0,0.8461538461538461
c1_probability,0.6,c3_probability,0.44999999999999996,1,1.0,0.8870362350223762,23,0.8395515830678973,0,0.8260869565217391
c1_probability,0.6,c3_probability,0.44999999999999996,2,0.9797071665982264,0.882519925756087,23,0.816717425370992,0,0.6956521739130435
c1_probability,0.6,c3_probability,0.6,0,0.9972600205548424,0.8764621871599565,21,0.8766988817096694,0,0.8571428571428571
c1_probability,0.6,c3_probability,0.6,1,1.0,0.9450470465237846,21,0.8312353015795128,0,0.7619047619047619
c1_probability,0.6,c3_probability,0.6,2,1.0,0.8449245503647196,22,0.8668301502260477,0,0.8636363636363636
